"date","retention_rate"
"2015-10-11",0.33
"2015-11-11",0.28
"2015-12-12",0.29
"2016-01-12",0.27
"2016-02-12",0.29
"2016-03-14",0.27
"2016-04-15",0.27
"2016-05-16",0.28
"2016-06-16",0.3
"2016-07-17",0.29
"2016-08-17",0.3
"2016-09-17",0.27
"2016-10-18",0.24
"2016-11-18",0.2
"2016-12-19",0.28
"2017-01-19",0.37
"2017-02-19",0.42
"2017-03-22",0.41
"2017-04-22",0.38
"2017-05-23",0.41
"2017-06-23",0.41
"2017-07-24",0.4
"2017-08-24",0.38
"2017-09-24",0.38
"2017-10-25",0.38
