"contact_created_at_epoch","last_stage_change_at_epoch","avg_deal_size","initial_purchase_value","initial_purchase_cycle_in_days","date","contact_count"
1413814270500,1444310483500,130,130,352.5,"2014-10-10",1
,,,,,"2014-11-09",0
,,,,,"2014-12-09",0
,,,,,"2015-01-08",0
,,,,,"2015-02-07",0
,,,,,"2015-03-09",0
1430444194000,1480479240000,258,480,579,"2015-04-08",1
,,,,,"2015-05-08",0
1433900831000,1452098966000,200,200,210,"2015-06-07",1
,,,,,"2015-07-07",0
,,,,,"2015-08-06",0
1442376137000,1453878407000,537.1428571428571,400,133,"2015-09-05",1
,,,,,"2015-10-05",0
,,,,,"2015-11-04",0
,,,,,"2015-12-04",0
,,,,,"2016-01-03",0
,,,,,"2016-02-02",0
,,,,,"2016-03-03",0
1460740201600,1473527761300,886.6909047619049,2665.8,147.4,"2016-04-02",1
1462816201800,1471384798200,403.87333333333333,398,98.6,"2016-05-02",1
,,,,,"2016-06-01",0
1468346186068.376,1479601017461.5386,574.171199031313,571.303247863248,129.74358974358975,"2016-07-01",1
1471102140500,1477765056666.6667,1006.6258333333334,1001.6666666666666,76.66666666666667,"2016-07-31",1
1473897469000,1477579163000,1129.78125,852,41.75,"2016-08-30",1
1476096430333.3333,1487507404333.3333,3756.3711111111115,3522.9233333333336,131.66666666666666,"2016-09-29",1
1479988111400,1488770655400,751.2,726,101.2,"2016-10-29",1
1481047930333.3333,1485401206000,568.6111111111112,516.6666666666666,50.333333333333336,"2016-11-28",1
1484327748900,1493267692200,557.5765,455.8,103.1,"2016-12-28",1
1486014904000,1488259103000,144,144,25,"2017-01-27",1
1489505538500,1497418644500,175,175,91.5,"2017-02-26",1
1492097755000,1492426166000,175,175,3,"2017-03-28",1
1494343516000,1499063888000,452,452,54,"2017-04-27",1
,,,,,"2017-05-27",0
1500260567133.3333,1503903642000,505.78933333333333,506.71399999999994,41.8,"2017-06-26",1
1502166843266.6667,1506707116533.3333,436.1176666666667,435.79,52.06666666666667,"2017-07-26",1
1504749397000,1508601007000,265.495,265.495,44,"2017-08-25",1
1507696112600,1508728418200,402.102,402.102,11.4,"2017-09-24",1
