"id","stage_name","owner","company_id","company","added_on","created_at","currency","decimal_value","last_stage_change_at","added_on_epoch","created_at_epoch","last_stage_change_at_epoch"
"27262316","Won","Aly Lalani","134375387","Enhance Studio","2016-11-28","2016-11-28T20:55:28Z","CAD",480,"2016-11-28T20:50:32Z",1480320000000,1480395328000,1480395032000
"36082976","Won","Aly Lalani","134376616","Eternal skin care","2017-04-27","2017-04-27T19:41:25Z","CAD",480,"2017-04-27T19:38:27Z",1493276400000,1493347285000,1493347107000
"36192533","Won","Aly Lalani","134376783","Euro Charm Skincare and Body Clinic","2017-04-30","2017-04-30T22:43:07Z","CAD",200,"2017-04-30T22:43:07Z",1493535600000,1493617387000,1493617387000
"22304100","Won","Aly Lalani","134377653","EvelineCharles","2016-08-05","2016-08-05T18:54:37Z","CAD",1500,"2016-08-05T18:54:17Z",1470380400000,1470448477000,1470448457000
"22842531","Won","Aly Lalani","134379273","Flawless Laser","2016-08-17","2016-08-17T17:29:24Z","CAD",150,"2016-08-17T17:29:24Z",1471417200000,1471480164000,1471480164000
"21115616","Won","Aly Lalani","134380037","Hair Free Laser Institute","2016-07-12","2016-07-12T21:22:32Z","CAD",200,"2016-07-12T21:17:56Z",1468306800000,1468383752000,1468383476000
"31827812","Won","Nabil Khan","134380112","Hair2day Gone Tomorrow","2017-02-09","2017-02-09T21:04:49Z","CAD",142,"2017-02-09T21:02:49Z",1486627200000,1486703089000,1486702969000
"25909186","Won","Aly Lalani","134380227","Halo Laser & Skin Care","2016-10-27","2016-10-27T05:24:05Z","CAD",59,"2016-10-27T05:21:07Z",1477551600000,1477571045000,1477570867000
"27790423","Won","Aly Lalani","134387793","LA Laser & Spa","2016-12-09","2016-12-09T23:08:09Z","CAD",480,"2016-12-09T23:06:12Z",1481270400000,1481353689000,1481353572000
"22391201","Won","Aly Lalani","134405156","Lifestiles Spa","2016-08-08","2016-08-08T19:05:04Z","CAD",480,"2016-08-08T19:04:04Z",1470639600000,1470708304000,1470708244000
"27947685","Won","Aly Lalani","134405335","Little Sister's Book & Art Emporium","2016-12-13","2016-12-13T22:19:57Z","CAD",250,"2016-12-13T22:18:57Z",1481616000000,1481696397000,1481696337000
"26523265","Won","Aly Lalani","134405781","Marjan Medical Laser Inc.","2016-11-10","2016-11-10T20:35:22Z","CAD",240,"2016-11-10T19:34:29Z",1478764800000,1478838922000,1478835269000
"34294425","Won","Aly Lalani","134405864","Mary's Electrolysis Studio","2017-03-21","2017-03-21T17:47:05Z","CAD",120,"2017-03-21T17:46:10Z",1490079600000,1490143625000,1490143570000
"26206954","Won","Aly Lalani","134534072","Beauty Rewind","2016-11-02","2016-11-02T23:38:55Z","CAD",250,"2016-11-02T23:37:56Z",1478070000000,1478155135000,1478155076000
"36095215","Won","Aly Lalani","134545089","Rouge ink","2017-04-28","2017-04-28T04:19:51Z","CAD",250,"2017-04-28T04:19:51Z",1493362800000,1493378391000,1493378391000
"23877329","Won","Aly Lalani","134546114","Shoppers Drug Mart # 253","2016-09-07","2016-09-07T21:05:14Z","CAD",240,"2016-09-07T21:03:33Z",1473231600000,1473307514000,1473307413000
"25578385","Won","Aly Lalani","134548541","Bedford Electrolysis","2016-10-19","2016-10-19T00:12:09Z","CAD",456,"2016-10-19T00:02:16Z",1476860400000,1476861129000,1476860536000
"21439324","Won","Aly Lalani","134679345","Everlasting Brows","2016-07-21","2016-07-21T03:43:25Z","USD",480,"2016-07-21T03:53:18Z",1469084400000,1469097805000,1469098398000
"32091839","Won","Nabil Khan","135076568","Lina Tran Studio","2017-02-14","2017-02-14T21:39:59Z","CAD",480,"2017-02-14T21:39:59Z",1487059200000,1487137199000,1487137199000
"35327980","Won","Aly Lalani","135123039","Tropica Laser","2017-04-11","2017-04-11T18:38:14Z","CAD",504,"2017-04-11T18:26:13Z",1491894000000,1491961094000,1491960373000
"27351153","Won","Nabil Khan","135140902","Skinatomy Laser Clinic","2016-11-30","2016-11-30T20:25:34Z","CAD",300,"2016-11-30T20:24:33Z",1480492800000,1480566334000,1480566273000
"33612266","Won","Nabil Khan","135142030","Stelo Boutique Spa","2017-03-08","2017-03-08T15:55:09Z","USD",1080,"2017-03-08T15:52:08Z",1488960000000,1489017309000,1489017128000
"21170157","Won","Nabil Khan","135240753","Above & Beyond Laser Skin Care","2016-10-04","2016-07-13T18:34:37Z","CAD",250,"2016-10-04T18:34:53Z",1475564400000,1468460077000,1475631293000
"21170345","Won","Nabil Khan","135241201","Advanced Laser Clinic","2016-07-13","2016-07-13T18:48:26Z","CAD",480,"2017-03-11T19:05:48Z",1468393200000,1468460906000,1489287948000
"22690411","Won","Aly Lalani","135350514","Organic Glow Skin Studio","2016-08-14","2016-08-14T23:22:35Z","USD",250,"2016-08-14T23:21:39Z",1471158000000,1471242155000,1471242099000
"22444211","Won","Aly Lalani","135635283","Fabuluxx Beauty Co","2016-08-09","2016-08-09T20:10:35Z","CAD",250,"2016-08-09T20:09:35Z",1470726000000,1470798635000,1470798575000
"27261326","Won","Aly Lalani","135674511","Shoppers Drug 201","2016-11-28","2016-11-28T20:23:50Z","CAD",120,"2016-11-28T20:22:54Z",1480320000000,1480393430000,1480393374000
"26165711","Won","Aly Lalani","135837316","Beauty Canada Distribution","2016-11-01","2016-11-01T18:14:35Z","CAD",1296,"2016-11-01T18:11:34Z",1477983600000,1478049275000,1478049094000
"21344539","Won","Aly Lalani","135837793","Viso Medi Spa & Boutique","2016-07-18","2016-07-18T21:21:12Z","CAD",472,"2017-03-04T01:10:36Z",1468825200000,1468902072000,1488618636000
"35042654","Won","Aly Lalani","135838875","Steveston Tattoo Company","2017-04-05","2017-04-05T19:50:41Z","CAD",200,"2017-04-05T19:49:56Z",1491375600000,1491447041000,1491446996000
"36332620","Won","Aly Lalani","135838929","Nicole Johnston","2017-05-03","2017-05-03T20:29:03Z","CAD",300,"2017-05-03T20:29:03Z",1493794800000,1493868543000,1493868543000
"31162101","Won","Aly Lalani","135838948","Valuemed","2017-01-25","2017-01-25T23:10:11Z","CAD",480,"2017-01-25T23:09:10Z",1485331200000,1485414611000,1485414550000
"26021819","Won","Aly Lalani","135839016","Enlighten Laser & Skin Care Clinic","2016-10-28","2016-10-28T21:53:43Z","CAD",250,"2016-10-28T21:52:44Z",1477638000000,1477716823000,1477716764000
"31780387","Won","Aly Lalani","135839019","Purple Beauty Supplies","2017-02-08","2017-02-08T22:40:09Z","CAD",960,"2017-02-08T22:43:04Z",1486540800000,1486622409000,1486622584000
"25267254","Won","Aly Lalani","135839068","The Esthetic Connection","2016-10-11","2016-10-11T19:08:08Z","CAD",480,"2016-10-11T19:07:12Z",1476169200000,1476238088000,1476238032000
"21344914","Won","Aly Lalani","135839070","Shambhala Tattoos","2016-07-18","2016-07-18T21:35:16Z","CAD",480,"2017-02-28T21:58:20Z",1468825200000,1468902916000,1488347900000
"32825949","Won","Aly Lalani","135839074","Worldwide Tattoo Canada","2017-02-28","2017-02-28T18:54:21Z","CAD",4500,"2017-02-28T18:51:26Z",1488268800000,1488336861000,1488336686000
"34309496","Won","Aly Lalani","135839180","Persona Laser","2017-03-21","2017-03-21T22:02:04Z","CAD",200,"2017-03-21T22:00:09Z",1490079600000,1490158924000,1490158809000
"24133223","Won","Aly Lalani","135839234","Sterling Skull Studio","2016-09-13","2016-09-13T21:23:35Z","CAD",480,"2016-09-13T21:23:35Z",1473750000000,1473827015000,1473827015000
"34082618","Won","Aly Lalani","135839300","Primpin Aint Easy","2017-03-16","2017-03-16T19:55:11Z","CAD",250,"2017-03-16T19:54:13Z",1489647600000,1489719311000,1489719253000
"22449756","Won","Aly Lalani","135839326","A touch above electrolysis","2016-08-09","2016-08-09T22:38:15Z","CAD",125,"2016-08-09T22:43:31Z",1470726000000,1470807495000,1470807811000
"33818896","Won","Aly Lalani","135844574","National brow clinic","2017-03-10","2017-03-10T19:45:52Z","CAD",480,"2017-03-10T19:45:52Z",1489132800000,1489203952000,1489203952000
"31214233","Won","Aly Lalani","135969516","Déjà Vu Spa","2017-01-27","2017-01-27T03:54:43Z","CAD",125,"2017-01-27T03:52:44Z",1485504000000,1485518083000,1485517964000
"32101954","Won","Aly Lalani","135969583","Shoppers Drug Mart Hornby","2017-02-15","2017-02-15T01:36:23Z","CAD",60,"2017-02-15T01:36:23Z",1487145600000,1487151383000,1487151383000
"25950880","Won","Aly Lalani","135969609","Shoppers Drug Mart Homer","2016-10-27","2016-10-27T22:22:16Z","CAD",100,"2016-10-27T22:21:16Z",1477551600000,1477632136000,1477632076000
"27260729","Won","Aly Lalani","135969612","Shoppers Drug Mart Park Royal","2016-11-28","2016-11-28T20:12:09Z","CAD",240,"2016-11-28T20:11:12Z",1480320000000,1480392729000,1480392672000
"27458630","Won","Aly Lalani","135969633","Shoppers Drug Mart Willoughby","2016-12-02","2016-12-02T22:12:42Z","CAD",480,"2016-12-02T22:11:49Z",1480665600000,1480745562000,1480745509000
"28610399","Won","Aly Lalani","135969685","Shoppers Drug Mart Hastings","2016-12-28","2016-12-28T21:55:50Z","CAD",200,"2016-12-28T21:54:56Z",1482912000000,1482990950000,1482990896000
"21387648","Won","Aly Lalani","135969736","Shoppers Drug Mart - Centre St. NW","2016-07-19","2016-07-19T23:17:31Z","CAD",120,"2017-01-16T01:50:16Z",1468911600000,1468995451000,1484560216000
"25950150","Won","Aly Lalani","135969740","Shoppers Drug Mart Broadway","2016-10-27","2016-10-27T21:59:03Z","CAD",120,"2016-10-27T21:57:03Z",1477551600000,1477630743000,1477630623000
"28181391","Won","Aly Lalani","135969744","Shoppers Drug Mart 120th","2016-12-19","2016-12-19T23:44:58Z","CAD",80,"2016-12-19T23:43:57Z",1482134400000,1482219898000,1482219837000
"21387682","Won","Aly Lalani","135969799","Shoppers Drug Mart #237","2016-07-19","2016-07-19T23:18:12Z","CAD",240,"2017-02-01T21:44:51Z",1468911600000,1468995492000,1486014291000
"27351128","Won","Aly Lalani","135969837","Shoppers Drug Mart Davie","2016-11-30","2016-11-30T20:23:13Z","CAD",100,"2016-11-30T20:09:19Z",1480492800000,1480566193000,1480565359000
"21952013","Won","Nabil Khan","136958792","Waters Edge Salon & Spa","2016-07-29","2016-07-29T21:06:12Z","CAD",250,"2016-07-29T21:06:12Z",1469775600000,1469851572000,1469851572000
"22208090","Won","Nabil Khan","137396625","Neece Electrolysis","2016-09-12","2016-08-03T21:56:30Z","CAD",480,"2016-09-12T09:56:30Z",1473663600000,1470286590000,1473699390000
"22388006","Won","Nabil Khan","137758917","Bauman Laser & Electrolysis","2016-10-19","2016-08-08T16:47:32Z","CAD",250,"2016-10-19T16:47:57Z",1476860400000,1470700052000,1476920877000
"22388720","Won","Nabil Khan","137760278","Mirage Beauty Salon","2016-09-20","2016-08-08T17:24:18Z","CAD",480,"2016-09-20T17:24:41Z",1474354800000,1470702258000,1474417481000
"22394372","Won","Aly Lalani","137794902","Color Touch","2016-08-08","2016-08-08T20:59:28Z","USD",480,"2016-08-08T21:00:46Z",1470639600000,1470715168000,1470715246000
"22541019","Won","Nabil Khan","138087661","Beautex","2016-08-11","2016-08-11T20:02:49Z","CAD",480,"2016-08-11T20:03:28Z",1470898800000,1470970969000,1470971008000
"22844264","Won","Aly Lalani","138666472","Ritu's Salon","2016-08-17","2016-08-17T18:28:35Z","CAD",100,"2016-08-17T18:28:35Z",1471417200000,1471483715000,1471483715000
"22988283","Won","Nabil Khan","138964427","Laser Spa Group Inc","2016-08-20","2016-08-20T17:38:04Z","CAD",480,"2016-08-20T17:38:59Z",1471676400000,1471739884000,1471739939000
"23251826","Won","Nabil Khan","139427773","Forest Hill Spa","2016-08-24","2016-08-24T21:18:59Z","CAD",480,"2017-05-10T09:53:02Z",1472022000000,1472098739000,1494435182000
"23251957","Won","Nabil Khan","139427938","International Beauty Depot","2016-09-06","2016-08-24T21:25:30Z","CAD",3840,"2016-09-06T20:03:01Z",1473145200000,1472099130000,1473217381000
"27407747","Won","Aly Lalani","139628763","Flirt Cosmetic Studio","2016-12-01","2016-12-01T19:12:22Z","CAD",12,"2016-12-01T19:12:22Z",1480579200000,1480648342000,1480648342000
"32795877","Won","Aly Lalani","139826626","Tammy Lee","2017-02-28","2017-02-28T01:14:28Z","CAD",480,"2017-02-28T01:13:33Z",1488268800000,1488273268000,1488273213000
"23496955","Won","Nabil Khan","139886831","Vibe Salon Medi Spa","2016-08-30","2016-08-30T17:10:26Z","CAD",300,"2016-08-30T17:12:54Z",1472540400000,1472602226000,1472602374000
"27317137","Won","Nabil Khan","140721118","Permanent Appeal","2016-11-29","2016-11-29T23:57:13Z","USD",35,"2016-11-29T23:58:07Z",1480406400000,1480492633000,1480492687000
"35153753","Won","Aly Lalani","141195613","International Brow Clinic","2017-04-07","2017-04-07T21:19:36Z","CAD",250,"2017-04-07T21:16:52Z",1491548400000,1491625176000,1491625012000
"24436465","Won","Aly Lalani","142236698","Vancouver skin clinic","2016-09-20","2016-09-20T18:27:27Z","CAD",200,"2016-09-20T18:27:27Z",1474354800000,1474421247000,1474421247000
"24521899","Won","Nabil Khan","142513629","The Anti Aging Clinic","2016-09-22","2016-09-22T17:11:38Z","CAD",250,"2016-09-22T17:08:37Z",1474527600000,1474589498000,1474589317000
"24523890","Won","Nabil Khan","142520284","ONaturel Spa - Boutique","2016-09-22","2016-09-22T17:39:47Z","CAD",250,"2016-09-22T17:38:47Z",1474527600000,1474591187000,1474591127000
"24684989","Won","Nabil Khan","142932607","Nugen-Rx Group","2016-09-26","2016-09-26T21:41:04Z","CAD",1728,"2016-09-26T21:39:04Z",1474873200000,1474951264000,1474951144000
"33580031","Won","Aly Lalani","143582177","Naturallee brows","2017-03-07","2017-03-07T23:47:52Z","CAD",1004,"2017-03-07T23:45:52Z",1488873600000,1488959272000,1488959152000
"25004877","Won","Aly Lalani","143799131","Dao Artistry","2016-10-04","2016-10-04T22:39:19Z","CAD",250,"2016-10-04T22:50:14Z",1475564400000,1475645959000,1475646614000
"25943247","Won","Aly Lalani","145120388","Skin Fx Inc Professional Aesthetic Supplies & Education","2016-10-27","2016-10-27T21:36:07Z","CAD",120,"2016-10-27T21:35:07Z",1477551600000,1477629367000,1477629307000
"25576931","Won","Aly Lalani","145557452","Eternal Beauty Esthetics Training Institute","2016-10-18","2016-10-18T22:59:00Z","CAD",480,"2016-10-18T22:57:59Z",1476774000000,1476856740000,1476856679000
"26126120","Won","Nabil Khan","146815147","Distribution De toute beauté inc.","2016-10-31","2016-10-31T16:20:54Z","CAD",1728,"2016-10-31T16:20:54Z",1477897200000,1477956054000,1477956054000
"36893773","Won","Nabil Khan","147143696","Spavaro","2017-05-16","2017-05-16T18:52:02Z","CAD",1680,"2017-05-16T18:50:02Z",1494918000000,1494985922000,1494985802000
"26353136","Won","Nabil Khan","147361943","Lasting Effect Electrolysis","2016-11-07","2016-11-07T06:59:02Z","CAD",200,"2016-11-07T07:00:15Z",1478505600000,1478530742000,1478530815000
"26384668","Won","Aly Lalani","147460820","Symmetry Brow Art","2016-11-07","2016-11-07T21:01:53Z","CAD",250,"2016-11-07T20:01:53Z",1478505600000,1478581313000,1478577713000
"26523011","Won","Aly Lalani","147826360","Enlighten Laser Calgary SE","2016-11-10","2016-11-10T20:30:30Z","CAD",250,"2016-11-10T20:31:17Z",1478764800000,1478838630000,1478838677000
"26708955","Won","Aly Lalani","148194021","beauty in the burbs","2016-11-15","2016-11-15T07:59:30Z","CAD",250,"2016-11-15T08:00:34Z",1479196800000,1479225570000,1479225634000
"26709037","Won","Aly Lalani","148194090","microblading by Ly","2016-11-15","2016-11-15T08:14:07Z","CAD",250,"2016-11-15T07:10:17Z",1479196800000,1479226447000,1479222617000
"34687049","Won","Nabil Khan","149087537","Centre d'epilation Adela","2017-03-30","2017-03-29T21:55:30Z","CAD",250,"2017-03-30T00:54:30Z",1490857200000,1490849730000,1490860470000
"27124873","Won","Samantha Ciaravino - Deleted","149325053","Esthétique Marie Leblanc","2016-11-24","2016-11-24T16:48:59Z","CAD",250,"2017-01-17T10:12:06Z",1479974400000,1480034939000,1484676726000
"27166094","Won","Samantha Ciaravino - Deleted","149456799","Studio Eli Ross","2016-11-25","2016-11-25T21:46:10Z","CAD",1440,"2017-02-15T00:58:49Z",1480060800000,1480139170000,1487149129000
"27259418","Won","Aly Lalani","149611671","Dr CD Bakala Facial cosmetic and laser surgery","2016-11-28","2016-11-28T19:40:51Z","CAD",250,"2016-11-28T19:41:41Z",1480320000000,1480390851000,1480390901000
"27265178","Won","Aly Lalani","149638511","Shoppers Drug Mart - Fraser & Livingston","2016-11-28","2016-11-28T22:12:41Z","CAD",60,"2016-11-28T22:13:33Z",1480320000000,1480399961000,1480400013000
"27356503","Won","Aly Lalani","150270563","Eyebrow Symmetry","2016-11-30","2016-11-30T22:39:41Z","USD",250,"2016-11-30T22:40:58Z",1480492800000,1480574381000,1480574458000
"27710314","Won","Samantha Ciaravino - Deleted","151266162","Cosmetica","2016-12-07","2016-12-07T21:41:30Z","CAD",480,"2016-12-07T21:42:49Z",1481097600000,1481175690000,1481175769000
"27789536","Won","Aly Lalani","151478390","Electrolysis Studio","2016-12-09","2016-12-09T22:05:15Z","CAD",48,"2016-12-09T22:04:17Z",1481270400000,1481349915000,1481349857000
"27945743","Won","Nabil Khan","151772836","MediChest Inc","2016-12-13","2016-12-13T21:02:52Z","USD",900,"2017-02-24T21:03:51Z",1481616000000,1481691772000,1487999031000
"28457705","Won","Aly Lalani","153222519","Light Works Esthetics","2016-12-27","2016-12-27T23:57:56Z","CAD",1800,"2016-12-27T23:59:17Z",1482825600000,1482911876000,1482911957000
"28976528","Won","Aly Lalani","153824825","Darling and Dapper","2016-12-29","2016-12-29T20:48:07Z","CAD",587,"2016-12-29T20:46:07Z",1482998400000,1483073287000,1483073167000
"29926160","Won","Nabil Khan","154744652","Bianca Associates","2017-01-03","2017-01-03T02:50:12Z","CAD",290,"2017-01-03T02:51:17Z",1483430400000,1483440612000,1483440677000
"36744958","Won","Aly Lalani","155108745","North Country Massage and Medi Spa","2017-05-12","2017-05-12T17:37:01Z","CAD",520,"2017-05-12T17:34:04Z",1494572400000,1494635821000,1494635644000
"30118964","Won","Aly Lalani","155143083","Glo Anti-aging treatment Bar","2017-01-06","2017-01-06T01:11:13Z","CAD",250,"2017-01-06T01:12:44Z",1483689600000,1483693873000,1483693964000
