"decimal_value","added_on_epoch","created_at_epoch","last_stage_change_at_epoch","date","contact_count"
310.625,1481356800000,1481427251250,1481427203875,"2016-12-07",8
245,1481947200000,1482021703833.3333,1482021825833.3333,"2016-12-14",6
950,1482652800000,1482730801000,1482730896000,"2016-12-21",2
438.5,1483214400000,1483256949500,1483256922000,"2016-12-28",2
325,1483848000000,1483303870333.3333,1483895741000,"2017-01-04",6
429.3333333333333,1483027200000,1483095221666.6667,1484402597666.6667,"2017-01-11",6
594.5,1485007200000,1485083124250,1485072056250,"2017-01-18",4
208.33333333333334,1483718400000,1485036749666.6667,1485612728666.6667,"2017-01-25",3
488.75,1481701500000,1481775150250,1486032781000,"2017-02-01",4
938.8571428571429,1485553371428.5715,1485630905714.2856,1486919237857.1428,"2017-02-08",7
208,1486771200000,1486809029166.6667,1487326824333.3333,"2017-02-15",6
308.42857142857144,1484145771428.5715,1484209443857.1428,1488147574571.4285,"2017-02-22",7
796,1480612320000,1480675646600,1488759263600,"2017-03-01",5
480,1468393200000,1468460906000,1489287948000,"2017-03-08",1
256,1489854960000,1489914217600,1489952258000,"2017-03-15",5
4879.6,1489302720000,1489365873600,1490568290600,"2017-03-22",5
686.5,1491030000000,1491079910250,1491083683000,"2017-03-29",4
200,1491418800000,1491455304000,1491455304000,"2017-04-05",2
327.5,1492326000000,1492371454000,1492535598000,"2017-04-12",2
480,1493103600000,1493163698000,1493163833000,"2017-04-19",1
1377.5,1493470800000,1493548621500,1493548865250,"2017-04-26",4
601.4,1489647600000,1489718900000,1494186227800,"2017-05-03",5
450,1495004400000,1495065715000,1495065773000,"2017-05-10",1
797.3333333333334,1491405600000,1491464921333.3333,1495106968000,"2017-05-17",3
241.66666666666666,1495839600000,1495906111333.3333,1495906273333.3333,"2017-05-24",3
1795,1496401200000,1496468518333.3333,1496468800333.3333,"2017-05-31",6
233.14285714285714,1497065657142.8572,1497139143714.2856,1497139145857.1428,"2017-06-07",7
372.8,1495022400000,1495090976200,1497751431400,"2017-06-14",5
335.6666666666667,1493940000000,1494015627000,1498482797666.6667,"2017-06-21",3
324,1498633200000,1498712765000,1498712655000,"2017-06-28",1
375,1490340600000,1491829592000,1499527299500,"2017-07-05",2
870,1500145200000,1500218181000,1500218125500,"2017-07-12",2
4704.56,1500879600000,1500956439000,1500956320000,"2017-07-19",1
377.84999999999997,1497496200000,1497763335833.3333,1501307408666.6667,"2017-07-26",6
767.732,1501311600000,1501382933300,1501903422900,"2017-08-02",10
413.905,1501916400000,1501984663500,1502443213250,"2017-08-09",4
1331.98,1502809200000,1502877404833.3333,1503353203500,"2017-08-16",6
746.6783333333333,1502766000000,1502831691333.3333,1503899624500,"2017-08-23",6
624.2933333333334,1503831600000,1503906351500,1504381721500,"2017-08-30",6
250,1489474800000,1489542580000,1505188715000,"2017-09-06",1
402.85,1502336057142.8572,1502405417571.4285,1505755142714.2856,"2017-09-13",7
289.2033333333333,1504767600000,1504819256666.6667,1506434944333.3333,"2017-09-20",3
348.63,1503008742857.1428,1503075956642.8572,1506783465571.4285,"2017-09-27",14
676.6875,1503774000000,1503848127250,1507492977500,"2017-10-04",4
512.2439999999999,1505061360000,1505133264600,1508104592800,"2017-10-11",5
403.10666666666674,1505862000000,1505933078333.3333,1508468948333.3333,"2017-10-18",6
1964.4442857142856,1506273428571.4285,1506346363428.5715,1509233068428.5715,"2017-10-25",7
450.48,1509741600000,1509804181111.111,1509805421444.4443,"2017-11-01",9
