"id","stage_name","owner","company_id","company","added_on","created_at","currency","decimal_value","last_stage_change_at","added_on_epoch","created_at_epoch","last_stage_change_at_epoch"
"22391201","Won","Aly Lalani","134405156","Lifestiles Spa","2016-08-08","2016-08-08T19:05:04Z","CAD",480,"2016-08-08T19:04:04Z",1470639600000,1470708304000,1470708244000
"27947685","Won","Aly Lalani","134405335","Little Sister's Book & Art Emporium","2016-12-13","2016-12-13T22:19:57Z","CAD",250,"2016-12-13T22:18:57Z",1481616000000,1481696397000,1481696337000
"26523265","Won","Aly Lalani","134405781","Marjan Medical Laser Inc.","2016-11-10","2016-11-10T20:35:22Z","CAD",240,"2016-11-10T19:34:29Z",1478764800000,1478838922000,1478835269000
"34294425","Won","Aly Lalani","134405864","Mary's Electrolysis Studio","2017-03-21","2017-03-21T17:47:05Z","CAD",120,"2017-03-21T17:46:10Z",1490079600000,1490143625000,1490143570000
"26206954","Won","Aly Lalani","134534072","Beauty Rewind","2016-11-02","2016-11-02T23:38:55Z","CAD",250,"2016-11-02T23:37:56Z",1478070000000,1478155135000,1478155076000
"36095215","Won","Aly Lalani","134545089","Rouge ink","2017-04-28","2017-04-28T04:19:51Z","CAD",250,"2017-04-28T04:19:51Z",1493362800000,1493378391000,1493378391000
"23877329","Won","Aly Lalani","134546114","Shoppers Drug Mart # 253","2016-09-07","2016-09-07T21:05:14Z","CAD",240,"2016-09-07T21:03:33Z",1473231600000,1473307514000,1473307413000
"37475175","Won","Aly Lalani","134546856","White Orchid Rejuvenation Centre","2017-05-31","2017-05-31T19:03:33Z","CAD",200,"2017-05-31T19:02:33Z",1496214000000,1496282613000,1496282553000
"25578385","Won","Aly Lalani","134548541","Bedford Electrolysis","2016-10-19","2016-10-19T00:12:09Z","CAD",456,"2016-10-19T00:02:16Z",1476860400000,1476861129000,1476860536000
"37525267","Won","Aly Lalani","134548575","Pure Escape Hair and Esthetics","2017-06-01","2017-06-01T21:09:24Z","CAD",200,"2017-06-01T21:08:23Z",1496300400000,1496376564000,1496376503000
"21439324","Won","Aly Lalani","134679345","Everlasting Brows","2016-07-21","2016-07-21T03:43:25Z","USD",576,"2016-07-21T03:53:18Z",1469084400000,1469097805000,1469098398000
"32091839","Won","Nabil Khan","135076568","Lina Tran Studio","2017-02-14","2017-02-14T21:39:59Z","CAD",480,"2017-02-14T21:39:59Z",1487059200000,1487137199000,1487137199000
"35327980","Won","Aly Lalani","135123039","Tropica Laser","2017-04-11","2017-04-11T18:38:14Z","CAD",504,"2017-04-11T18:26:13Z",1491894000000,1491961094000,1491960373000
"37515903","Won","Nabil Khan","135140825","Skinlabel Tattoo Parlour","2017-06-01","2017-06-01T16:33:44Z","USD",2160,"2017-06-01T16:32:48Z",1496300400000,1496360024000,1496359968000
"27351153","Won","Nabil Khan","135140902","Skinatomy Laser Clinic","2016-11-30","2016-11-30T20:25:34Z","CAD",300,"2016-11-30T20:24:33Z",1480492800000,1480566334000,1480566273000
"33612266","Won","Nabil Khan","135142030","Stelo Boutique Spa","2017-03-08","2017-03-08T15:55:09Z","USD",1296,"2017-03-08T15:52:08Z",1488960000000,1489017309000,1489017128000
"21170157","Won","Nabil Khan","135240753","Above & Beyond Laser Skin Care","2016-10-04","2016-07-13T18:34:37Z","CAD",250,"2016-10-04T18:34:53Z",1475564400000,1468460077000,1475631293000
"21170345","Won","Nabil Khan","135241201","Advanced Laser Clinic","2016-07-13","2016-07-13T18:48:26Z","CAD",480,"2017-03-11T19:05:48Z",1468393200000,1468460906000,1489287948000
"22690411","Won","Aly Lalani","135350514","Organic Glow Skin Studio","2016-08-14","2016-08-14T23:22:35Z","USD",300,"2016-08-14T23:21:39Z",1471158000000,1471242155000,1471242099000
"22444211","Won","Aly Lalani","135635283","Fabuluxx Beauty Co","2016-08-09","2016-08-09T20:10:35Z","CAD",250,"2016-08-09T20:09:35Z",1470726000000,1470798635000,1470798575000
"27261326","Won","Aly Lalani","135674511","Shoppers Drug 201","2016-11-28","2016-11-28T20:23:50Z","CAD",120,"2016-11-28T20:22:54Z",1480320000000,1480393430000,1480393374000
"26165711","Won","Aly Lalani","135837316","Beauty Canada Distribution","2016-11-01","2016-11-01T18:14:35Z","CAD",1296,"2016-11-01T18:11:34Z",1477983600000,1478049275000,1478049094000
"21344539","Won","Aly Lalani","135837793","Viso Medi Spa & Boutique","2016-07-18","2016-07-18T21:21:12Z","CAD",472,"2017-03-04T01:10:36Z",1468825200000,1468902072000,1488618636000
"35042654","Won","Aly Lalani","135838875","Steveston Tattoo Company","2017-04-05","2017-04-05T19:50:41Z","CAD",200,"2017-04-05T19:49:56Z",1491375600000,1491447041000,1491446996000
"36332620","Won","Aly Lalani","135838929","Nicole Johnston","2017-05-03","2017-05-03T20:29:03Z","CAD",300,"2017-05-03T20:29:03Z",1493794800000,1493868543000,1493868543000
"31162101","Won","Aly Lalani","135838948","Valuemed","2017-01-25","2017-01-25T23:10:11Z","CAD",480,"2017-01-25T23:09:10Z",1485331200000,1485414611000,1485414550000
"26021819","Won","Aly Lalani","135839016","Enlighten Laser & Skin Care Clinic","2016-10-28","2016-10-28T21:53:43Z","CAD",250,"2016-10-28T21:52:44Z",1477638000000,1477716823000,1477716764000
"31780387","Won","Aly Lalani","135839019","Purple Beauty Supplies","2017-02-08","2017-02-08T22:40:09Z","CAD",960,"2017-02-08T22:43:04Z",1486540800000,1486622409000,1486622584000
"25267254","Won","Aly Lalani","135839068","The Esthetic Connection","2016-10-11","2016-10-11T19:08:08Z","CAD",480,"2016-10-11T19:07:12Z",1476169200000,1476238088000,1476238032000
"21344914","Won","Aly Lalani","135839070","Shambhala Tattoos","2016-07-18","2016-07-18T21:35:16Z","CAD",480,"2017-02-28T21:58:20Z",1468825200000,1468902916000,1488347900000
"32825949","Won","Aly Lalani","135839074","Worldwide Tattoo Canada","2017-02-28","2017-02-28T18:54:21Z","CAD",4500,"2017-02-28T18:51:26Z",1488268800000,1488336861000,1488336686000
"37477233","Won","Aly Lalani","135839088","Rich 1 beauty salon","2017-05-31","2017-05-31T20:09:50Z","CAD",210,"2017-05-31T20:05:50Z",1496214000000,1496286590000,1496286350000
"34309496","Won","Aly Lalani","135839180","Persona Laser","2017-03-21","2017-03-21T22:02:04Z","CAD",200,"2017-03-21T22:00:09Z",1490079600000,1490158924000,1490158809000
"37300912","Won","Aly Lalani","135839231","SKN Holistic Rejuvenation","2017-05-26","2017-05-26T19:50:47Z","CAD",250,"2017-05-26T19:49:49Z",1495782000000,1495853447000,1495853389000
"24133223","Won","Aly Lalani","135839234","Sterling Skull Studio","2016-09-13","2016-09-13T21:23:35Z","CAD",480,"2016-09-13T21:23:35Z",1473750000000,1473827015000,1473827015000
