"date","purchased_ratio","repeat_purchased_ratio","avg_num_purchase","avg_LTV","avg_purchase_amount","avg_initial_purchase_cycle_in_days"
"2017-05-01",0.1884,0.087,1.7692,232.2205,124.5449,53.2308
"2017-05-08",0.1379,0.0431,1.3125,199.9895,149.7708,53.5625
"2017-05-15",0.1143,0.0429,2.125,301.2292,135.0208,60.75
"2017-05-22",0.15,0.0667,1.4444,172.0926,118.5,40.5556
"2017-05-29",0.0566,0,1,118.3889,118.3889,38.3333
"2017-06-05",0.2174,0.058,1.3333,199.8511,160.1066,49.6
"2017-06-12",0.1818,0.0545,1.9,382.81,177.4775,25.2
"2017-06-19",0.0615,0.0308,2.75,316.5,119.25,83.75
"2017-06-26",0.18,0.04,1.4444,226.2407,160.7963,40.5556
"2017-07-03",0.0476,0.0238,2,108.9167,53.25,0
"2017-07-10",0.1,0.025,1.375,212.5625,183.5625,44.625
"2017-07-17",0.0818,0.0273,1.5556,266.6111,146.0833,20.1111
"2017-07-24",0.05,0.01,1.4,240.7333,174.3333,33.2
"2017-07-31",0.066,0,1,113.4286,113.4286,37.4286
"2017-08-07",0.0224,0.0075,1.3333,171,141.6666,25.3333
"2017-08-14",0.0933,0.0067,1.0714,104.9167,100.3452,30.2143
"2017-08-21",0.04,0.032,2,239.28,126.16,24.2
"2017-08-28",0.102,0,1,83.5167,83.5167,43.4
"2017-09-04",0.0943,0.0377,2,345.5,220.5,9
"2017-09-11",0.0431,0,1,107.54,107.54,31.8
"2017-09-18",0.187,0.0244,1.1304,83.4652,69.4435,7.8261
"2017-09-25",0.1917,0.025,1.1739,211.2811,164.2232,3.087
"2017-10-02",0.1724,0.023,1.2,85.1444,71.1444,8.6667
"2017-10-09",0.1892,0.036,1.2381,82.0159,67.5436,10.1905
"2017-10-16",0.1377,0.029,1.2105,76.4649,65.2982,1.4211
"2017-10-23",0.1503,0.0261,1.2174,77.5217,64.7391,7.2174
"2017-10-30",0.0812,0.0043,1.0526,75.9907,73.713,3.8421
"2017-11-06",0.1167,0.0167,1.1429,150.2857,122.5714,8.2857
"2017-11-13",0.0625,0.0156,1.25,203,134.5,3.75
"2017-11-20",0.15,0.025,1.1667,147.6667,140,0
"2017-11-27",0.125,0.0313,1.5,135.1666,100.3889,14.5
"2017-12-04",0.0851,0,1,105,105,9.5
"2017-12-11",0.0435,0.0217,2,122.4166,70.1389,6.5
"2017-12-18",0.0238,0,1,88.1111,88.1111,0
"2017-12-25",0.0612,0.0204,1.3333,143.9444,114.6111,0
"2018-01-01",0.1754,0.0175,1.1,124.2,114.8,2.4
"2018-01-08",0.1667,0.0333,1.2,93.12,82.52,1.3
"2018-01-15",0.1296,0,1,88.0476,88.0476,0
"2018-01-22",0.1613,0.0161,1.1,110.8333,99.4333,0.4
"2018-01-29",0.125,0.0417,1.6667,149.5555,103.1852,0
