"month","user_count"
"2016-11",9
"2016-12",177
"2017-01",233
"2017-02",148
"2017-03",181
"2017-04",154
"2017-05",342
"2017-06",259
"2017-07",347
"2017-08",534
"2017-09",421
"2017-10",563
"2017-11",415
"2017-12",281
"2018-01",257
"2018-02",19
