"date","purchased_ratio","repeat_purchased_ratio","avg_num_purchase","avg_LTV","avg_purchase_amount","avg_initial_purchase_cycle_in_days"
"2016-11-23",0,0,0,0,0,
"2016-11-30",0.1765,0,1,151.9166,151.9166,310
"2016-12-07",0.2222,0.0278,1.125,17.395,14.525,0.75
"2016-12-14",0.1915,0.1064,3.2222,671.1867,143.0793,41.5556
"2016-12-21",0.0877,0.0702,2,403.0253,160.0753,40
"2016-12-28",0.1463,0.0244,1.1667,145.1111,116.6111,60.3333
"2017-01-04",0.1042,0.0208,1.2,275.3332,198.1666,44.8
"2017-01-11",0.1489,0.0426,1.4286,211.3752,139.6609,61.5714
"2017-01-18",0.0882,0.0294,1.3333,203.0666,180.9,152.5
"2017-01-25",0.1321,0,1,103.1333,103.1333,94.8571
"2017-02-01",0.1887,0.0566,1.7,285.8793,161.5026,44.6
"2017-02-08",0.0968,0.0323,1.6667,198.0555,131.3889,36.6667
"2017-02-15",0.1944,0.0833,1.7143,271.3277,138.6981,34.2857
"2017-02-22",0.2593,0.1481,1.8571,303.9047,153.1666,86.5714
"2017-03-01",0.1463,0.0732,1.8333,280.8889,136.6111,25.1667
"2017-03-08",0.2045,0.0682,2.3333,415.4296,147.6751,5.8889
"2017-03-15",0.1273,0.0364,1.5714,214.6428,119.5833,40.4286
"2017-03-22",0.1515,0,1,136.7333,136.7333,31.8
"2017-03-29",0.0909,0.0455,2,304,148.6667,158
"2017-04-05",0.2,0.1143,3.8571,554.5238,126.1564,33.4286
"2017-04-12",0.2273,0.1364,1.8,459.21,333.8967,18.4
"2017-04-19",0.1786,0.0714,1.4,219,139.5,39.4
"2017-04-26",0.2115,0.0577,1.5455,222.4576,133.5885,36.3636
"2017-05-03",0.099,0.0396,1.5,186.5,124.1778,43.5
"2017-05-10",0.2143,0.0714,1.6111,227.2592,138.6574,72.4444
"2017-05-17",0.0781,0.0313,1.6,266.6,175.3333,11
"2017-05-24",0.1194,0.0448,1.375,149.2083,103.7917,40.125
"2017-05-31",0.1132,0.0566,1.6667,196.4722,120.7778,49.6667
"2017-06-07",0.2206,0.0441,1.4667,296.2577,186.1028,47.4
"2017-06-14",0.1207,0.0345,2,262.1904,140.0476,61.5714
"2017-06-21",0.0877,0.0351,2.2,302.8,122.2,56.2
"2017-06-28",0.12,0.02,1.1667,216.6944,189.5278,15
"2017-07-05",0.1373,0.0196,1.2857,182.619,166.7143,45.8571
"2017-07-12",0.0633,0.038,1.8,191.9,127.75,25.4
"2017-07-19",0.0687,0.0153,1.4444,267.537,156.8704,10
"2017-07-26",0.0476,0.0119,1.5,254.4583,171.4583,46
"2017-08-02",0.0654,0,1,113.4286,113.4286,34.8571
"2017-08-09",0.038,0.0127,1.3333,119.3055,93.9722,40.3333
"2017-08-16",0.0724,0.0066,1.0909,118.5455,110.3636,23.3636
"2017-08-23",0.0595,0.0357,1.8,213.28,118.16,24.2
"2017-08-30",0.1042,0.0208,1.4,95.7167,80.9167,43.4
"2017-09-06",0.0541,0.0135,1.75,423.6667,281.6667,11.25
"2017-09-13",0.1176,0.0147,1.125,103.6896,86.2833,9.9375
"2017-09-20",0.1818,0.0273,1.15,202.0683,168.0183,10.9
"2017-09-27",0.1792,0.0094,1.1053,101.1386,77.7,1.7368
"2017-10-04",0.1978,0.044,1.3333,88.4444,65.2593,13
"2017-10-11",0.1709,0.0256,1.15,76.5167,69.7875,5.5
"2017-10-18",0.1156,0.0272,1.2353,73.6274,60.7941,1.5882
"2017-10-25",0.1364,0.017,1.1667,86.9375,76.5208,9.125
"2017-11-01",0.0995,0.005,1.05,79.0965,76.9386,1
"2017-11-08",0.0756,0.0252,1.3333,220.7407,147.1852,14.3333
"2017-11-15",0.1163,0.0233,1.2,88.8,79.6,0.4
"2017-11-22",0.1389,0,1,158.8,158.8,0.2
"2017-11-29",0.1081,0.027,1.5,152.1666,117.3889,23.75
"2017-12-06",0.0784,0,1,88,88,0
"2017-12-13",0.027,0.027,3,156.8333,52.2778,13
"2017-12-20",0.0227,0,1,88.1111,88.1111,0
"2017-12-27",0.0909,0.0227,1.25,129.9583,107.9583,0.5
"2018-01-03",0.197,0.0152,1.0769,119.1692,111.9385,1.6923
"2018-01-10",0.1452,0.0323,1.2222,88.9259,77.1481,1.4444
"2018-01-17",0.1552,0,1,97.7778,97.7778,0
"2018-01-24",0.14,0.02,1.1429,117.1905,100.9048,0.5714
"2018-01-31",0.1,0.1,3,88.3333,29.4444,0
